group_number,day,batch_number,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
1,Tuesday,3,67455.0,for_sale,289900.0,3.0,2.0,0.36,1698080.0,Agawam,Massachusetts,1001.0,1276.0,2012-10-12
1,Tuesday,3,33714.0,for_sale,199999.0,3.0,2.0,1.76,1745924.0,Agawam,Massachusetts,1001.0,1968.0,2008-09-19
1,Tuesday,3,62476.0,for_sale,275000.0,3.0,2.0,0.16,1308332.0,Amherst,Massachusetts,1002.0,1280.0,2021-08-19
1,Tuesday,3,77236.0,for_sale,249900.0,4.0,3.0,0.29,1342303.0,Chicopee,Massachusetts,1020.0,1514.0,1996-07-30
1,Tuesday,3,98727.0,for_sale,240000.0,2.0,1.0,0.28,1548010.0,Chicopee,Massachusetts,1013.0,1207.0,2011-11-29
1,Tuesday,3,30212.0,for_sale,224900.0,2.0,1.0,0.4,553770.0,South Hadley,Massachusetts,1075.0,1034.0,1996-02-28
1,Tuesday,3,8147.0,for_sale,299500.0,3.0,2.0,0.11,114750.0,Ludlow,Massachusetts,1056.0,2240.0,2000-10-03
1,Tuesday,3,67832.0,for_sale,295000.0,4.0,2.0,0.3,893552.0,South Hadley,Massachusetts,1075.0,2112.0,2001-05-24
1,Tuesday,3,67832.0,for_sale,275000.0,2.0,2.0,0.05,1033205.0,Chicopee,Massachusetts,1013.0,1200.0,2002-06-12
1,Tuesday,3,44805.0,for_sale,215000.0,1.0,1.0,0.31,1273383.0,Belchertown,Massachusetts,1007.0,640.0,2000-08-03
1,Tuesday,3,107905.0,for_sale,65000.0,1.0,1.0,0.4,893755.0,Barre,Massachusetts,1005.0,634.0,2003-10-28
1,Tuesday,3,78217.0,for_sale,273900.0,3.0,1.0,0.12,593122.0,Barre,Massachusetts,1005.0,1175.0,1996-12-13
1,Tuesday,3,67832.0,for_sale,169999.0,2.0,1.0,0.6,1057580.0,Belchertown,Massachusetts,1007.0,802.0,2009-06-26
1,Tuesday,3,13414.0,for_sale,299900.0,5.0,3.0,0.32,114774.0,Belchertown,Massachusetts,1007.0,1850.0,2012-12-14
1,Tuesday,3,30212.0,for_sale,174900.0,3.0,2.0,0.25,883580.0,Holyoke,Massachusetts,1040.0,1637.0,2002-06-26
1,Tuesday,3,11863.0,for_sale,175000.0,5.0,2.0,0.13,551292.0,Holyoke,Massachusetts,1040.0,1924.0,2001-10-15
1,Tuesday,3,53310.0,for_sale,160000.0,5.0,2.0,1.27,1281347.0,Orange,Massachusetts,1364.0,1495.0,2011-04-29
1,Tuesday,3,53016.0,for_sale,300000.0,3.0,1.0,0.69,1033347.0,Southampton,Massachusetts,1073.0,1200.0,2000-07-10
1,Tuesday,3,7554.0,for_sale,239900.0,4.0,2.0,0.11,1229027.0,Holyoke,Massachusetts,1040.0,1989.0,1992-07-10
1,Tuesday,3,22188.0,for_sale,299900.0,1.0,2.0,0.53,1427712.0,Greenfield,Massachusetts,1301.0,3792.0,2008-09-24
1,Tuesday,3,12856.0,for_sale,299900.0,3.0,2.0,0.22,1141614.0,Easthampton,Massachusetts,1027.0,2037.0,2008-11-20
1,Tuesday,3,53016.0,for_sale,139000.0,3.0,2.0,0.05,317473.0,Holyoke,Massachusetts,1040.0,1644.0,2018-01-18
1,Tuesday,3,53016.0,for_sale,110000.0,2.0,1.0,0.25,1739430.0,South Hadley,Massachusetts,1075.0,800.0,2004-07-06
1,Tuesday,3,80325.0,for_sale,215000.0,3.0,2.0,0.25,370545.0,Holyoke,Massachusetts,1040.0,4620.0,1997-12-12
1,Tuesday,3,56729.0,for_sale,289900.0,5.0,2.0,0.15,1314394.0,Chicopee,Massachusetts,1020.0,2316.0,2020-09-28
1,Tuesday,3,108015.0,for_sale,195500.0,4.0,2.0,0.17,326015.0,Chicopee,Massachusetts,1013.0,2030.0,1996-12-30
1,Tuesday,3,3357.0,for_sale,285000.0,3.0,3.0,19.23,1685760.0,Southampton,Massachusetts,1073.0,2268.0,2002-11-22
1,Tuesday,3,64525.0,for_sale,184900.0,1.0,1.0,0.29,733115.0,Greenfield,Massachusetts,1301.0,640.0,1988-03-01
1,Tuesday,3,87582.0,for_sale,195000.0,2.0,1.0,0.15,438968.0,Easthampton,Massachusetts,1027.0,1276.0,1996-11-27
1,Tuesday,3,59818.0,for_sale,219900.0,3.0,3.0,0.1,482142.0,South Hadley,Massachusetts,1075.0,1781.0,2009-08-21
1,Tuesday,3,7554.0,for_sale,279900.0,3.0,1.0,0.13,915051.0,Holyoke,Massachusetts,1040.0,1456.0,2019-10-21
1,Tuesday,3,22188.0,for_sale,215000.0,2.0,1.0,0.22,732148.0,Greenfield,Massachusetts,1301.0,816.0,1993-04-29
1,Tuesday,3,41995.0,for_sale,249987.0,4.0,2.0,0.13,1130243.0,Chicopee,Massachusetts,1020.0,1596.0,2007-03-21
1,Tuesday,3,3357.0,for_sale,199900.0,3.0,1.0,0.26,1821055.0,Chicopee,Massachusetts,1020.0,1048.0,2005-07-18
1,Tuesday,3,92102.0,for_sale,185000.0,4.0,2.0,0.14,373597.0,Holyoke,Massachusetts,1040.0,2040.0,2000-08-16
1,Tuesday,3,30212.0,for_sale,214900.0,4.0,2.0,0.12,1049874.0,Holyoke,Massachusetts,1040.0,1599.0,1996-01-31
1,Tuesday,3,22188.0,for_sale,275000.0,3.0,1.0,0.29,1739276.0,Greenfield,Massachusetts,1301.0,1482.0,2001-10-31
1,Tuesday,3,67832.0,for_sale,300000.0,6.0,4.0,0.16,1637803.0,Chicopee,Massachusetts,1020.0,2844.0,2019-12-30
1,Tuesday,3,8147.0,for_sale,259900.0,4.0,2.0,0.11,1318712.0,Chicopee,Massachusetts,1013.0,1872.0,2004-08-20
1,Tuesday,3,59891.0,for_sale,240000.0,3.0,2.0,0.16,425796.0,Springfield,Massachusetts,1104.0,1284.0,2011-08-26
1,Tuesday,3,20717.0,for_sale,289900.0,3.0,1.0,0.26,1031167.0,Holyoke,Massachusetts,1040.0,1096.0,2019-05-10
1,Tuesday,3,76016.0,for_sale,199900.0,2.0,2.0,0.23,1531748.0,South Hadley,Massachusetts,1075.0,1210.0,2004-05-21
1,Tuesday,3,33507.0,for_sale,270000.0,2.0,1.0,2.61,1157429.0,Montague,Massachusetts,1351.0,936.0,1987-07-23
